province,fire_cause,fire_type,response_type,protection_zone,fn_indicator,dist_to_fn_km,n_fn_20km,any_evacuation,log_fire_size_ha
NT,natural,unknown,other,other,False,586.6001515019946,0,False,-0.0143886272857347
NT,natural,unknown,monitor,monitor,False,649.7470857822246,0,False,1.130831810424422
NT,natural,unknown,monitor,monitor,False,597.7340249670002,0,False,0.7954246526042887
NT,natural,unknown,monitor,monitor,False,615.9121134336582,0,False,0.7987257733458215
NT,natural,unknown,monitor,monitor,False,644.6812008779879,0,False,-0.2328964825260332
NT,natural,unknown,monitor,monitor,False,647.1993153199322,0,False,-0.9926527726464373
NT,natural,unknown,monitor,monitor,False,611.880045802735,0,False,0.3201627904235536
NT,natural,unknown,other,other,False,649.902491066003,0,False,-0.3480294034506625
NT,natural,unknown,other,other,False,602.6738722758475,0,False,1.474741373302202
NT,natural,unknown,other,other,False,619.8399906398314,0,False,1.1004222699921722
NT,natural,unknown,other,other,False,617.6700056405728,0,False,-0.7547306809723082
NT,natural,unknown,other,other,False,564.5199106667102,0,False,1.275886716361606
NT,natural,unknown,moderate,moderate,False,595.2096874116415,0,False,0.4609659310170062
NT,natural,unknown,monitor,monitor,False,654.8437507128513,0,False,1.215649798022289
NT,natural,unknown,moderate,moderate,False,593.4702433574375,0,False,0.4889552341002916
NT,natural,unknown,monitor,monitor,False,603.1129510944189,0,False,-1.3627700895731674
NT,natural,unknown,other,other,False,635.8054107276832,0,False,0.7055489127715928
NT,natural,unknown,other,other,False,656.6919581839495,0,False,1.1255778499411062
NT,natural,unknown,other,other,False,636.786405645845,0,False,1.9430830461062996
NT,natural,unknown,other,other,False,623.3900366295488,0,False,1.4402007200064308
NT,natural,unknown,monitor,monitor,False,626.2988792600695,0,False,0.1699064361923506
NT,natural,unknown,monitor,monitor,False,638.2500574637497,0,False,0.9691375307700943
NT,natural,unknown,monitor,monitor,False,520.0921298328294,0,False,-1.3627700895731674
NT,natural,unknown,monitor,monitor,False,518.5716768691574,0,False,-0.5786320373598652
NT,natural,unknown,monitor,monitor,False,483.22499146057726,0,False,0.2555224936614275
NT,natural,unknown,moderate,moderate,False,613.007281958796,0,False,0.9139124934883308
NT,natural,unknown,other,other,False,653.2288549454454,0,False,-1.2223591994498235
NT,natural,unknown,other,other,False,621.0105668798045,0,False,-0.2328964825260332
NT,natural,unknown,moderate,moderate,False,475.67628045667146,0,False,-0.9262337125962706
NT,natural,unknown,moderate,moderate,False,623.7412123004508,0,False,-0.6199701556629242
NT,natural,unknown,monitor,monitor,False,538.9621676766216,0,False,-0.5212905960091039
NT,natural,unknown,monitor,monitor,False,647.9497346000825,0,False,1.633186885827685
NT,natural,unknown,other,other,False,508.5381468891968,0,False,1.335429014554098
NT,natural,unknown,other,other,False,539.5410064250902,0,False,-0.0611433681952814
NT,natural,unknown,other,other,False,538.3566911048044,0,False,0.0947992823871379
NT,natural,unknown,monitor,monitor,False,536.9941497391715,0,False,-1.3627700895731674
NT,natural,unknown,monitor,monitor,False,536.2638991329651,0,False,-0.7196721560321641
NT,natural,unknown,other,other,False,538.9287538095663,0,False,0.8345274160155607
NT,natural,unknown,monitor,monitor,False,558.8954602244758,0,False,-0.4145534187955601
NT,natural,unknown,monitor,monitor,False,513.2852800047975,0,False,-0.7855089144719057
NT,natural,unknown,monitor,monitor,False,282.10012944702953,0,False,1.7008765451781729
NT,natural,unknown,monitor,monitor,False,233.3369886060507,0,False,1.548005339334843
NT,natural,unknown,monitor,monitor,False,300.3883461191383,0,False,-1.1075408656381058
NT,natural,unknown,other,other,False,270.77361659967227,0,False,-0.9262337125962706
NT,natural,unknown,other,other,False,279.2524191044614,0,False,1.9795573803574449
NT,natural,unknown,monitor,monitor,False,274.58172007389913,0,False,0.6687266192391661
NT,natural,unknown,other,other,False,279.9633576779053,0,False,-0.9262337125962706
NT,natural,unknown,monitor,monitor,False,303.934779940192,0,False,-1.3627700895731674
NT,natural,unknown,monitor,monitor,False,250.04044206717776,0,False,0.6091152199269866
NT,natural,unknown,monitor,monitor,False,238.6120418395107,0,False,-1.2223591994498235
NT,natural,unknown,monitor,monitor,False,265.81740235972063,0,False,1.8086809643032065
NT,natural,unknown,monitor,monitor,False,264.93340797361503,0,False,2.028009244696295
NT,natural,unknown,monitor,monitor,False,278.0116476078695,0,False,-0.7855089144719057
NT,natural,unknown,monitor,monitor,False,282.38221104792586,0,False,0.3023458225614861
NT,natural,unknown,monitor,monitor,False,240.73391504620784,0,False,-0.465671565823178
NT,natural,unknown,moderate,moderate,False,270.2346590919516,0,False,0.1499784661595094
NT,natural,unknown,monitor,monitor,False,325.0422242444218,0,False,1.1159344977061754
NT,natural,unknown,monitor,monitor,False,498.8874344059686,0,False,0.6812405901715074
